,id,date,mood_class,average_mood,average_arousal,average_valence,average_activity,total_screen,total_sms,total_calls,total_built_in,total_communication,total_other,group,total_professional,total_recreation,total_convenience
77,AS14.02,2014-04-17,2,6.5,0.25,0.0,0.4700854700854705,41.23499965667722,7.0,10.0,2.007,37.601,0.0,2.0,0.0,0.0,0.0
78,AS14.02,2014-04-18,2,6.5,0.0,0.0,0.09082248601959764,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
79,AS14.02,2014-04-19,1,5.666666666666667,-0.6666666666666666,-0.3333333333333333,0.5,187.3220000267031,0.0,1.0,10.09,72.341,0.0,2.0,0.0,0.0,0.0
80,AS14.02,2014-04-20,1,5.0,-0.6666666666666666,0.0,0.11219268535588064,0.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
81,AS14.02,2014-04-21,1,5.5,-0.5,-0.5,0.10863098546650014,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82,AS14.02,2014-04-22,1,5.666666666666667,-1.3333333333333333,-0.3333333333333333,0.075,13.08000016212468,2.0,15.0,0.0,0.0,0.0,2.0,0.0,106.887,0.0
83,AS14.02,2014-04-23,1,5.5,0.0,0.5,0.142857142857143,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
84,AS14.02,2014-04-24,2,7.0,-0.5,-0.5,0.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
85,AS14.02,2014-04-25,5,9.0,-1.0,1.0,0.08013738635145615,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
86,AS14.03,2014-03-21,5,9.0,1.0,2.0,0.10611603188622709,1664.9540009498596,2.0,5.0,168.055,1724.7390000000005,543.588,3.0,10.046,946.017,0.0
87,AS14.03,2014-03-22,5,7.8,0.8,1.0,0.1913883086450861,2643.5370004177103,1.0,8.0,482.088,458.495,89.216,3.0,0.0,3915.524,172.895
